Date,Global Rank,Global Delta,US Rank
2016-01-05,461260,-228518,61152
2016-01-06,453111,-242641,59929
2016-01-07,447974,-262743,59184
2016-01-08,442633,-284094,59915
2016-01-09,436984,-297859,58817
2016-01-10,431323,-316427,57837
2016-01-11,432224,-296690,56383
2016-01-12,425186,-302735,54619
2016-01-13,420892,-295790,53300
2016-01-14,415602,-301459,52956
2016-01-15,409628,-321703,51494
2016-01-16,402272,-334483,52199
2016-01-17,402070,-331840,52423
2016-01-18,397868,-343541,52602
2016-01-19,400259,-330267,53535
2016-01-20,401320,-318485,54482
2016-01-21,399730,-316807,54930
2016-01-22,397046,-316958,55375
2016-01-23,393683,-325646,55561
2016-01-24,394445,-322353,55629
2016-01-25,389299,-332933,55567
2016-01-26,389927,-339112,56075
2016-01-27,395367,-312936,57879
2016-01-28,394860,-306503,59157
2016-01-29,390651,-309724,59503
2016-01-30,390104,-305343,60071
2016-01-31,389124,-317058,60964
2016-02-01,388691,-305361,61509
2016-02-02,388317,-296521,63882
2016-02-03,384749,-298869,65962
2016-02-04,382260,-298512,64799
2016-02-05,377906,-304065,65079
2016-02-06,377516,-307383,66443
2016-02-07,377314,-311335,68142
2016-02-08,377094,-306407,71671
2016-02-09,379603,-296105,72996
2016-02-10,379603,-296105,72996
2016-02-11,376302,-299628,74716
2016-02-12,373823,-295221,76791
2016-02-13,371617,-300739,79833
2016-02-14,367912,-298928,80668
2016-02-15,370303,-268684,81721
2016-02-16,370303,-268684,81721
2016-02-17,371208,-260924,81804
2016-02-18,372507,-244732,81255
2016-02-19,373302,-224823,79716
2016-02-20,369398,-227235,76731
2016-02-21,366244,-229475,75217
2016-02-22,361938,-239689,75133
2016-02-23,356790,-250355,73652
2016-02-24,356137,-247523,73234
2016-02-25,350880,-255394,75306
2016-02-26,351749,-245016,74970
2016-02-27,351899,-241870,75482
2016-02-28,346916,-258875,73003
2016-02-29,348056,-243635,70609
2016-03-01,348056,-243635,70609
2016-03-02,343937,-236926,69293
2016-03-03,347131,-225365,71440
2016-03-04,348473,-214153,72256
2016-03-05,345786,-218753,71546
2016-03-06,346596,-212131,72508
2016-03-07,342831,-218306,69484
2016-03-08,350274,-194617,70299
2016-03-09,348256,-197165,69016
2016-03-10,345389,-199248,67412
2016-03-15,338199,-213943,68089
2016-03-16,339842,-200752,67203
2016-03-17,337163,-198389,65255
2016-03-18,337938,-191064,66058
2016-03-19,339252,-180912,66483
2016-03-20,342680,-168981,69379
